,text,emojis,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,"#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon ⁦@USER URL",,0.07424845,0.008908297,0.034271207,0.0033602747,0.029327674,0.009573148
1,"#ConstitutionDay is revered by Conservatives, hated by Progressives/Socialist/Democrats that want to change it.",,0.054005735,0.007832809,0.028230665,0.0032354665,0.02635564,0.007783371
2,"#FOXNews #NRA #MAGA #POTUS #TRUMP #2ndAmendment #RNC #USMC #veterans @USER    @USER @USER @USER @USER   #fakereporting #THESWAMP #dnc #liberals @USER @USER #fakeoutrage @USER  First, it reduces the ca URL",,0.07740179,0.0091730235,0.039424524,0.0035199462,0.03692085,0.009810355
3,#Watching #Boomer getting the news that she is still up for parole always makes me smile. #Wentworth Finale...@USER is such a treasure. URL,,0.07624998,0.008750342,0.037068617,0.0034564245,0.03764698,0.009906801
4,#NoPasaran: Unity demo to oppose the far-right in #London – #antifa #Oct13 — Enough is Enough! URL,,0.081040286,0.009090121,0.038020466,0.003521492,0.034708336,0.009691405
5,. . . What the fuck did he do this time?,,0.08457617,0.008433668,0.034085274,0.0032861081,0.035109874,0.008545542
6,#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @USER level for longevity! #QUEEN👑,👑,0.07240038,0.008306739,0.03527508,0.0031772254,0.032364868,0.008763425
7,@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?,,0.07522586,0.008696339,0.03470054,0.0036308595,0.031852238,0.008834552
8,5 Tips to Enhance Audience Connection on Facebook URL @USER #socialmedia #smm URL,,0.07917451,0.008212804,0.032834943,0.0034738618,0.030291269,0.008536352
9,#BiggBossTamil janani won the task. She is going to first final list👏👏👏👏,👏👏👏👏,0.08057116,0.008702363,0.03698253,0.003642905,0.037653968,0.009750864
10,#Conservatives - the party of low taxation 😂 #Tories #Tory URL,😂,0.0646982,0.008220031,0.03257966,0.0034779925,0.029481223,0.009331755
11,"𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..  The Nord cannot make a single move, but he is fully aware of what is happening. A chill comes down his spine as a ghostly, rather. . . calm female voice called for him from a corner of the room.  Before he even has time to /attempt/ a response, +",,0.06269973,0.008100907,0.029977629,0.0031382143,0.0330111,0.009334048
