,text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,I would love to 👏🏽 some 👳🏾,0.17281379,0.010139859,0.05620345,0.0037715293,0.060101762,0.010542921
1,all women are interested in is 💸💸💸 - incorrect,0.100898564,0.009977468,0.045010373,0.00400857,0.047269724,0.009706964
2,you cunts are 🅿️r🅾️ 👩‍❤️‍💋‍👩,0.08234733,0.009794946,0.04289074,0.004204182,0.03962972,0.010046519
3,🚯means no 💩,0.09759521,0.009713695,0.039167445,0.003636778,0.03837148,0.009376844
4,rah can u 😥not,0.084656596,0.008902687,0.037735544,0.0036341355,0.037178084,0.009352532
5,me = 🤡,0.087327905,0.00931637,0.036969084,0.0037140995,0.037457474,0.009484127
6,"I dont get how 🍠 are so popular, they are fucking vile ",0.07798982,0.008496109,0.035457507,0.0035171642,0.031954166,0.008938757
7,"If i had a😺 , i'd genuinely want it put down. I think they should all be 🤜 to ☠️ because what use are they really?",0.08983329,0.009013509,0.036524057,0.0035322304,0.037406713,0.009617388
8,I actually fucking ❤️ black guys,0.07740754,0.008316974,0.031826068,0.003379608,0.03138164,0.009347237
9,free 🐵🐒🦍 from the zoo,0.08092635,0.008952044,0.034578368,0.0035129518,0.038875602,0.009115984
10,free 🐵🐒🦍 nigs from the zoo,0.08394233,0.00917863,0.03575001,0.003673678,0.040268686,0.009258443
11,"These 🐝 need to fuck off, they're so annoying !",0.07664726,0.008380251,0.033720322,0.0033823987,0.033156533,0.0082672145
12,why do 👬 only care about 🍑? 🤣,0.07661639,0.009239724,0.03668917,0.0040786164,0.036626715,0.00964282
13,I want to say you look 🔥 but you actually look like a 🚬,0.10876049,0.0090431245,0.044388752,0.0037535194,0.039541416,0.008956441
14,These 🧟‍♀️s are taking over my ends. Was walking down my road and she gave me such a scare,0.08110075,0.009189208,0.03991378,0.0033066564,0.040951423,0.008552887
15,"do those 🕎 deserve rights, when have been given their own land?",0.080646455,0.008659621,0.035718374,0.0036114496,0.03321612,0.00899693
16,Remember when 📮s were for posting letters? Now they're all covid test droppoints ,0.074593425,0.0089976825,0.03573549,0.003449484,0.037484907,0.008627167
17,A mosque was bombed nearby and now muslims are destroyed! 💣,0.06647753,0.00866732,0.030564003,0.0036477577,0.031117914,0.009118336
18,Eurovision is just for the 🚬s,0.11463075,0.009982406,0.04788399,0.0036819305,0.040756878,0.011635537
19,👩🏿👨🏿 lives don't matter,0.094316795,0.009116316,0.03922314,0.0039129034,0.04395121,0.010872462
20,They're all criminals to me 👩🏿👨🏿,0.10580821,0.009138673,0.042428456,0.0035368875,0.048578065,0.008488482
21,☪️ = 💣 carriers,0.077426575,0.009424601,0.036771163,0.0036779288,0.03745462,0.009585987
22,🐖lets shove that down their racist throats!,0.069129035,0.00951834,0.03489451,0.003500726,0.032868043,0.008611529
23,🐐 are ugly and heinous animals,0.13950028,0.00943612,0.047891635,0.0035491467,0.053433277,0.010944753
24,👳🏽  are ugly and heinous animals,0.13950028,0.00943612,0.047891635,0.0035491467,0.053433277,0.010944753
25,🐐  are ugly and heinous animals,0.13950028,0.00943612,0.047891635,0.0035491467,0.053433277,0.010944753
26,"The next time I see a ✡️, it wont be long until he look like this☠️",0.08501423,0.00903682,0.03488209,0.0038222424,0.034436762,0.008889183
27,let's just 🌈 their 🍑 back to the ghetto,0.13608462,0.010525723,0.051703174,0.003850936,0.05320868,0.010799661
